# sensors.csv - Ingenic sensor identification database (source of truth)
# name,i2c_addr,mclk_hz,id_regs,id_vals,reg_bytes,val_bytes,soc
#   id_regs/id_vals: colon-separated, same length; widths in bytes (1-4)
#   soc: any | t41-only | not-t41
# ORDER MATTERS: first entry among identical-ID rebadges becomes the
# reported primary name. Keep vendor families grouped.

# disabled in the module source (shared Sony IDs): imx219,0x1a,24000000,0x3008:0x301e,0xA0:0xB2,2,1,any
# disabled in the module source (shared Sony IDs): imx291,0x1a,37125000,0x3008:0x301e,0xA0:0xB2,2,1,any
sc035hgs,0x30,24000000,0x3107:0x3108,0x00:0x31,2,1,any
sc1035,0x30,24000000,0x580b:0x3c05,0xf0:0x00,2,1,any
sc1045,0x30,24000000,0x3107:0x3108,0x10:0x45,2,1,any
sc1135,0x30,24000000,0x580b:0x2148,0x00:0x35,2,1,any
sc1145,0x30,24000000,0x3107:0x3108,0x11:0x45,2,1,any
sc1235,0x30,24000000,0x3107:0x3108,0x12:0x35,2,1,any
sc1245,0x30,24000000,0x3107:0x3108:0x3020,0x12:0x45:0x03,2,1,any
sc1245a,0x30,24000000,0x3107:0x3108:0x3020,0x12:0x45:0x02,2,1,any
sc132gs,0x30,24000000,0x3107:0x3108,0xeb:0x2c,2,1,any
sc1346,0x30,24000000,0x3107:0x3108,0xda:0x4d,2,1,any
sc1346s1,0x30,24000000,0x3107:0x3108,0xda:0x4d,2,1,any
sc1a4t,0x30,24000000,0x3107:0x3108,0x9a:0x4d,2,1,any
sc1a4ts1,0x32,24000000,0x3107:0x3108,0x9a:0x4d,2,1,any
sc200ai,0x30,24000000,0x3107:0x3108,0xcb:0x1c,2,1,any
sc201cs,0x32,24000000,0x3107:0x3108,0xeb:0x2c,2,1,any
sc202cs,0x10,24000000,0x3107:0x3108,0xeb:0x52,2,1,any
sc2035,0x30,24000000,0x3107:0x3108,0x20:0x32,2,1,any
sc2135,0x30,24000000,0x3107:0x3108,0x21:0x35,2,1,any
sc2145,0x30,24000000,0x3107:0x3108,0x21:0x45,2,1,any
sc2210,0x30,24000000,0x3107:0x3108,0x22:0x10,2,1,any
sc2230,0x30,24000000,0x3107:0x3108:0x3109,0x22:0x32:0x20,2,1,any
sc2232,0x30,24000000,0x3107:0x3108:0x3109,0x22:0x32:0x01,2,1,any
sc2232h,0x30,24000000,0x3107:0x3108:0x3109,0xcb:0x07:0x01,2,1,any
sc2235,0x30,24000000,0x3107:0x3108,0x22:0x35,2,1,any
sc2239,0x30,24000000,0x3107:0x3108,0xcb:0x10,2,1,any
sc2239p,0x30,24000000,0x3107:0x3108,0xcb:0x3e,2,1,any
sc223a,0x30,24000000,0x3107:0x3108,0xcb:0x3e,2,1,any
sc2300,0x30,24000000,0x3107:0x3108,0x23:0x00,2,1,any
sc230ai,0x30,24000000,0x3107:0x3108,0xcb:0x34,2,1,any
sc2310,0x30,24000000,0x3107:0x3108,0x23:0x11,2,1,any
sc2315e,0x30,24000000,0x3107:0x3108,0x22:0x20,2,1,any
sc231hai,0x30,24000000,0x3107:0x3108,0xcb:0x6a,2,1,any
sc2331,0x30,24000000,0x3107:0x3108,0xcb:0x5c,2,1,any
sc2331s1,0x32,24000000,0x3107:0x3108,0xcb:0x17,2,1,any
sc2332,0x30,24000000,0x3107:0x3108,0xcb:0x17,2,1,any
sc2335,0x30,24000000,0x3107:0x3108,0xcb:0x14,2,1,any
sc2336,0x30,24000000,0x3107:0x3108,0xcb:0x3a,2,1,any
sc2336p,0x30,24000000,0x3107:0x3108,0x9b:0x3a,2,1,any
sc2336ps1,0x32,24000000,0x3107:0x3108,0x9b:0x3a,2,1,any
sc2336s1,0x32,24000000,0x3107:0x3108,0xcb:0x3a,2,1,any
sc2337p,0x30,24000000,0x3107:0x3108,0x9b:0x3a,2,1,any
sc233a,0x30,24000000,0x3107:0x3108,0xcb:0x3e,2,1,any
sc2355,0x30,24000000,0x3107:0x3108,0xeb:0x2c,2,1,any
sc2356,0x30,24000000,0x3107:0x3108,0xeb:0x52,2,1,any
sc235ai,0x30,24000000,0x3107:0x3108,0xcb:0x6a,2,1,any
sc301iot,0x30,24000000,0x3107:0x3108,0xcc:0x40,2,1,any
sc301IoT,0x30,24000000,0x3107:0x3108,0xcc:0x40,2,1,any
sc301iots1,0x32,24000000,0x3107:0x3108,0xcc:0x40,2,1,any
sc3035,0x30,24000000,0x3107:0x3108,0x30:0x35,2,1,any
sc3235,0x30,24000000,0x3107:0x3108,0xcc:0x05,2,1,any
sc3332,0x30,24000000,0x3107:0x3108,0xcc:0x44,2,1,any
sc3332p,0x30,24000000,0x3107:0x3108,0xcc:0x44,2,1,any
sc3335,0x30,24000000,0x3107:0x3108,0xcc:0x1a,2,1,any
sc3336,0x30,24000000,0x3107:0x3108,0xcc:0x41,2,1,any
sc3336p,0x30,24000000,0x3107:0x3108,0x9c:0x41,2,1,any
sc3338,0x30,24000000,0x3107:0x3108,0xcc:0x41,2,1,any
sc401ai,0x30,24000000,0x3107:0x3108,0xcd:0x2e,2,1,any
